player_id,name,position,bench_reps,broad_jump,cone,shuttle,forty_yd,vertical,draft_pick,draft_round,weight,height,dk_score,10_yd,position_label
AbduAm00,Ameer Abdullah,RB,24.0,130.0,6.79,3.95,4.6,42.5,54.0,2.0,205,69.0,120.99999999999999,UNK,2
AdamDa00,Darvin Adams,WR,0.0,0.0,0.0,0.0,4.56,0.0,0.0,0.0,190,74.0,0.0,UNK,5
AdamDa01,Davante Adams,WR,14.0,123.0,6.82,4.3,4.56,39.5,53.0,2.0,212,73.0,103.60000000000001,UNK,5
AdamJe01,Jerell Adams,TE,0.0,117.0,7.05,4.31,4.64,32.5,184.0,6.0,247,77.0,34.2,UNK,3
AdamJo01,Joe Adams,WR,0.0,123.0,7.09,0.0,4.51,36.0,104.0,4.0,179,71.0,3.0,UNK,5
AddaJo00,Joseph Addai,RB,18.0,125.0,7.09,4.47,4.4,38.5,30.0,1.0,214,71.0,234.60000000000002,UNK,2
AddiBr01,Bralon Addison,RB,13.0,116.0,6.95,4.14,4.66,34.5,0.0,0.0,197,69.0,2.5,UNK,2
AghoNe00,Nelson Agholor,WR,12.0,0.0,0.0,0.0,4.42,0.0,20.0,1.0,198,72.0,57.3,UNK,5
AikeSa00,Sam Aiken,WR,0.0,121.0,7.22,0.0,4.59,39.5,127.0,4.0,209,74.0,6.5,UNK,5
AjayJa00,Jay Ajayi,RB,19.0,121.0,7.1,4.1,4.57,39.0,149.0,5.0,221,72.0,40.7,UNK,2
AjirSe00,Seyi Ajirotutu,WR,14.0,115.0,7.22,4.39,4.6,36.0,0.0,0.0,204,75.0,54.2,UNK,5
AlexDa00,Danario Alexander,WR,0.0,0.0,0.0,0.0,4.62,0.0,0.0,0.0,215,77.0,56.599999999999994,UNK,5
AlexSh00,Shaun Alexander,RB,0.0,0.0,0.0,0.0,4.58,0.0,19.0,1.0,218,72.0,52.400000000000006,UNK,2
AlfoMa00,Mario Alford,WR,13.0,121.0,6.64,4.07,4.43,34.0,238.0,7.0,180,68.0,2.5,UNK,5
AlleAn01,Anthony Allen,RB,24.0,120.0,6.79,4.06,4.56,41.5,225.0,7.0,228,73.0,0.8,UNK,2
AlleAr00,Armando Allen,RB,23.0,0.0,0.0,0.0,4.59,0.0,0.0,0.0,199,68.0,4.8,UNK,2
AlleDw00,Dwayne Allen,TE,27.0,110.0,7.12,4.37,4.85,32.0,64.0,3.0,255,75.0,115.6,UNK,3
AlleJa00,James Allen,RB,24.0,126.0,7.59,4.21,4.62,38.0,82.0,3.0,240,75.0,133.3,UNK,2
AlleJa01,Javorius Allen,RB,11.0,121.0,6.96,4.28,4.53,35.5,125.0,4.0,221,72.0,152.7,UNK,2
AlleKe00,Keenan Allen,WR,0.0,0.0,0.0,0.0,4.58,0.0,76.0,3.0,206,74.0,238.60000000000002,UNK,5
AlliAu00,Aundrae Allison,WR,0.0,127.0,0.0,0.0,4.39,37.0,146.0,5.0,198,72.0,26.5,UNK,5
AlliGe01,Geronimo Allison,WR,0.0,127.0,7.4,4.28,4.67,33.0,0.0,0.0,196,75.0,44.2,UNK,5
AmarJa00,Jace Amaro,TE,28.0,118.0,7.42,4.3,4.74,33.0,49.0,2.0,265,77.0,84.5,UNK,3
AndeCo00,Courtney Anderson,TE,17.0,106.0,7.86,4.45,4.89,30.0,245.0,7.0,269,78.0,36.5,UNK,3
AndeDa00,Damien Anderson,RB,27.0,112.0,6.93,4.02,4.56,33.5,0.0,0.0,211,70.0,13.100000000000001,UNK,2
AndeDa01,David Anderson,WR,0.0,116.0,6.88,4.2,4.57,34.0,251.0,7.0,192,70.0,3.7,UNK,5
AndeSc00,Scotty Anderson,WR,0.0,115.0,0.0,0.0,4.57,34.5,148.0,5.0,184,74.0,39.099999999999994,UNK,5
AndeSt01,Stephen Anderson,TE,16.0,119.0,0.0,0.0,4.59,38.0,0.0,0.0,230,74.0,26.299999999999997,UNK,3
AndrAn00,Antonio Andrews,RB,20.0,106.0,7.24,4.49,4.82,29.5,0.0,0.0,225,70.0,3.1,UNK,2
AnelMa20,Mark Anelli,TE,18.0,0.0,0.0,0.0,4.8,0.0,201.0,6.0,262,76.0,0.0,UNK,3
ArchDr00,Dri Archer,WR,20.0,122.0,6.86,4.06,4.26,38.0,97.0,3.0,173,68.0,13.3,UNK,5
ArtiCa00,Cameron Artis-Payne,RB,0.0,118.0,7.13,0.0,4.53,36.5,174.0,5.0,212,70.0,35.1,UNK,2
AtkiGe01,George Atkinson,RB,19.0,121.0,7.07,4.46,4.48,38.0,0.0,0.0,218,73.0,0.0,UNK,2
AustMi00,Miles Austin,WR,21.0,123.0,7.09,4.14,4.47,40.5,0.0,0.0,215,74.0,0.0,UNK,5
AustTa00,Tavon Austin,WR,14.0,120.0,0.0,4.01,4.34,32.0,8.0,1.0,174,68.0,135.9,UNK,5
AvanJa00,Jason Avant,WR,20.0,118.0,0.0,0.0,4.62,37.0,109.0,4.0,212,72.0,19.8,UNK,5
AverDo00,Donnie Avery,WR,16.0,0.0,0.0,0.0,4.43,0.0,33.0,2.0,192,71.0,154.29999999999998,UNK,5
AyerDe00,Demarcus Ayers,WR,0.0,123.0,0.0,0.0,4.72,33.0,229.0,7.0,182,69.0,16.099999999999998,UNK,5
BailSt01,Stedman Bailey,WR,11.0,117.0,6.81,4.09,4.52,34.5,92.0,3.0,193,70.0,48.900000000000006,UNK,5
BajeBi00,Billy Bajema,TE,16.0,113.0,7.05,4.25,4.74,31.5,249.0,7.0,261,77.0,10.4,UNK,3
BakeCh00,Chris Baker,TE,18.0,112.0,6.95,0.0,4.81,35.0,88.0,3.0,258,75.0,43.599999999999994,UNK,3
BallMo00,Montee Ball,RB,15.0,118.0,6.88,4.4,4.66,32.0,58.0,2.0,214,70.0,117.40000000000002,UNK,2
BallVi00,Vick Ballard,RB,23.0,115.0,7.03,4.19,4.59,33.0,170.0,5.0,219,70.0,134.60000000000002,UNK,2
BankBr00,Brandon Banks,WR,0.0,113.0,6.88,4.29,4.37,31.0,0.0,0.0,149,67.0,9.6,UNK,5
BankMi20,Mike Banks,TE,0.0,104.0,0.0,0.0,4.84,31.5,223.0,7.0,260,76.0,0.0,UNK,3
BannAl00,Alex Bannister,WR,0.0,110.0,0.0,0.0,4.47,30.5,140.0,5.0,201,77.0,9.0,UNK,5
BarbMa01,Marion Barber,RB,20.0,127.0,0.0,0.0,4.49,40.0,109.0,4.0,221,71.0,116.3,UNK,2
BarbPe01,Peyton Barber,RB,20.0,111.0,7.0,4.21,4.64,32.5,0.0,0.0,228,70.0,36.1,UNK,2
BardRa00,Ramses Barden,WR,17.0,118.0,0.0,4.26,4.51,33.5,85.0,3.0,229,78.0,2.6,UNK,5
BarkMa00,Matt Barkley,QB,0.0,0.0,0.0,0.0,4.91,0.0,98.0,4.0,227,74.0,7.800000000000001,UNK,1
BarlKe00,Kevan Barlow,RB,0.0,0.0,0.0,0.0,4.56,0.0,80.0,3.0,235,73.0,127.9,UNK,2
BarnGa01,Gary Barnidge,TE,22.0,117.0,6.92,4.23,4.61,31.0,141.0,5.0,243,78.0,0.0,UNK,3
BarnKe00,Kenjon Barner,RB,20.0,122.0,6.87,4.2,4.52,35.5,182.0,6.0,196,69.0,3.4,UNK,2
BasaBr00,Brett Basanez,QB,0.0,114.0,6.75,4.22,4.76,34.0,0.0,0.0,220,73.0,1.4400000000000004,UNK,1
BaskHa00,Hank Baskett,WR,0.0,119.0,6.79,4.17,4.5,35.0,0.0,0.0,224,75.0,85.4,UNK,5
BattAr00,Arnaz Battle,WR,0.0,117.0,6.74,4.06,4.58,35.0,197.0,6.0,217,73.0,1.4,UNK,5
BechAn00,Anthony Becht,TE,0.0,123.0,6.94,4.08,4.78,33.5,27.0,1.0,270,78.0,42.4,UNK,3
BeckJo00,John Beck,QB,0.0,111.0,6.81,4.17,4.75,29.5,40.0,2.0,215,74.0,30.560000000000002,UNK,1
BeckTr00,Travis Beckum,TE,28.0,0.0,0.0,0.0,4.61,0.0,100.0,3.0,243,75.0,13.5,UNK,3
BellBl00,Blake Bell,TE,14.0,116.0,6.85,4.32,4.8,33.0,117.0,4.0,252,78.0,33.599999999999994,UNK,3
BellJo01,Joique Bell,RB,0.0,120.0,6.84,4.17,4.68,36.5,0.0,0.0,220,71.0,0.0,UNK,2
BellKa00,Kahlil Bell,RB,15.0,114.0,6.87,4.2,4.74,34.5,0.0,0.0,212,71.0,23.4,UNK,2
BellLe00,Le'Veon Bell,RB,24.0,118.0,6.75,4.24,4.6,31.5,48.0,2.0,230,73.0,221.89999999999998,UNK,2
BellMi00,Mike Bell,RB,19.0,112.0,7.16,4.21,4.6,31.5,0.0,0.0,221,72.0,154.5,UNK,2
BellTa00,Tatum Bell,RB,25.0,117.0,0.0,0.0,4.37,38.5,41.0,2.0,212,71.0,73.6,UNK,2
BenjKe00,Kelvin Benjamin,WR,13.0,119.0,7.33,4.39,4.61,32.5,28.0,1.0,240,77.0,236.8,UNK,5
BenjTr00,Travis Benjamin,WR,14.0,119.0,0.0,0.0,4.31,38.0,100.0,4.0,172,70.0,72.4,UNK,5
BennAr00,Arrelious Benn,WR,20.0,118.0,0.0,0.0,4.57,37.0,39.0,2.0,219,73.0,83.00000000000001,UNK,5
BennEa00,Earl Bennett,WR,15.0,110.0,7.15,4.22,4.48,26.0,70.0,3.0,209,71.0,0.0,UNK,5
BennMa00,Martellus Bennett,TE,18.0,118.0,7.64,4.53,4.68,34.0,61.0,2.0,259,78.0,72.30000000000001,UNK,3
BennMi00,Michael Bennett,RB,13.0,130.0,0.0,0.0,4.38,39.5,27.0,1.0,207,69.0,162.79999999999998,UNK,2
BensCe00,Cedric Benson,RB,0.0,0.0,0.0,0.0,4.62,0.0,4.0,1.0,222,70.0,28.500000000000004,UNK,2
BergAd00,Adam Bergen,TE,25.0,121.0,7.11,4.1,4.78,38.0,0.0,0.0,265,76.0,61.0,UNK,3
BerlEd00,Eddie Berlin,WR,0.0,122.0,6.78,4.08,4.43,39.5,159.0,5.0,191,71.0,4.800000000000001,UNK,5
BernGi00,Giovani Bernard,RB,19.0,122.0,6.91,4.12,4.53,33.5,37.0,2.0,202,68.0,224.9,UNK,2
BerrBe00,Bernard Berrian,WR,0.0,128.0,7.34,4.18,4.58,38.0,78.0,3.0,183,73.0,52.300000000000004,UNK,5
BertSe00,Sean Berton,TE,0.0,107.0,7.18,4.35,5.02,31.0,0.0,0.0,279,76.0,0.0,UNK,3
BessDa00,Davone Bess,WR,12.0,118.0,6.97,4.27,4.64,31.5,0.0,0.0,194,70.0,116.7,UNK,5
BestJa00,Jahvid Best,RB,18.0,113.0,6.75,4.17,4.34,32.5,30.0,1.0,199,70.0,201.19999999999996,UNK,2
BettLa00,Ladell Betts,RB,23.0,116.0,7.06,4.06,4.62,38.0,56.0,2.0,220,70.0,67.10000000000001,UNK,2
BlacJu00,Justin Blackmon,WR,14.0,0.0,0.0,0.0,4.46,0.0,5.0,1.0,207,73.0,185.8,UNK,5
BlouLe00,LeGarrette Blount,RB,18.0,117.0,6.85,4.49,4.7,35.0,0.0,0.0,241,72.0,155.10000000000002,UNK,2
BlueAl00,Alfred Blue,RB,13.0,121.0,7.15,4.5,4.63,32.0,181.0,6.0,223,74.0,100.1,UNK,2
BoldAn00,Anquan Boldin,WR,0.0,114.0,7.35,4.33,4.72,33.5,54.0,2.0,216,73.0,304.7,UNK,5
BoldBr00,Brandon Bolden,RB,21.0,119.0,6.96,4.44,4.55,38.0,0.0,0.0,222,71.0,45.49999999999999,UNK,2
BollKy00,Kyle Boller,QB,0.0,117.0,7.2,4.02,4.61,35.5,19.0,1.0,234,75.0,78.60000000000002,UNK,1
BookDe00,Devontae Booker,RB,22.0,0.0,0.0,0.0,4.56,0.0,136.0,4.0,219,71.0,148.7,UNK,2
BookLo00,Lorenzo Booker,RB,26.0,121.0,0.0,0.0,4.46,35.5,71.0,3.0,191,70.0,64.2,UNK,2
BortBl00,Blake Bortles,QB,0.0,115.0,7.08,4.21,4.93,32.5,3.0,1.0,232,77.0,188.22,UNK,1
BossKe00,Kevin Boss,TE,0.0,116.0,6.96,4.41,4.78,35.0,153.0,5.0,252,78.0,32.8,UNK,3
BoweDw00,Dwayne Bowe,WR,0.0,125.0,6.81,4.35,4.51,33.0,23.0,1.0,221,74.0,205.50000000000006,UNK,5
BoycJo00,Josh Boyce,WR,22.0,131.0,6.68,4.1,4.38,34.0,102.0,4.0,206,71.0,21.1,UNK,5
BoydCo01,Cory Boyd,RB,25.0,118.0,6.97,4.24,4.52,33.5,238.0,7.0,213,72.0,0.0,UNK,2
BoydTy00,Tyler Boyd,WR,11.0,119.0,6.9,4.35,4.58,34.0,55.0,2.0,197,73.0,126.10000000000001,UNK,5
BoykJa00,Jarrett Boykin,WR,11.0,123.0,7.12,4.28,4.62,36.0,0.0,0.0,217,74.0,7.7,UNK,5
BoykTr00,Trevone Boykin,QB,0.0,110.0,0.0,4.4,4.77,32.0,0.0,0.0,212,72.0,8.9,UNK,1
BoylNi00,Nick Boyle,TE,20.0,112.0,7.13,4.23,5.04,30.5,171.0,5.0,268,76.0,33.3,UNK,3
BradAh00,Ahmad Bradshaw,RB,0.0,112.0,6.7,4.09,4.55,34.0,250.0,7.0,198,69.0,31.200000000000003,UNK,2
BradAl00,Allen Bradford,RB,28.0,113.0,6.97,4.39,4.53,29.0,187.0,6.0,242,71.0,1.3,UNK,2
BradMa00,Mark Bradley,WR,0.0,128.0,6.96,3.98,4.37,39.5,39.0,2.0,201,73.0,41.0,UNK,5
BradSa00,Sam Bradford,QB,0.0,0.0,0.0,0.0,4.79,0.0,1.0,1.0,236,76.0,212.78,UNK,1
BradTo00,Tom Brady,QB,0.0,99.0,7.2,4.38,5.28,24.5,199.0,6.0,211,76.0,0.24,UNK,1
BranDe00,Deion Branch,WR,0.0,117.0,6.71,3.78,4.47,36.0,65.0,2.0,191,69.0,106.89999999999999,UNK,5
BrauBe00,Ben Braunecker,TE,20.0,121.0,6.9,4.2,4.73,35.5,0.0,0.0,250,75.0,8.100000000000001,UNK,3
BrazLa00,LaVon Brazill,WR,11.0,0.0,0.0,0.0,4.43,32.5,206.0,6.0,192,71.0,35.599999999999994,UNK,5
BreaSt00,Steve Breaston,WR,0.0,124.0,6.9,4.29,4.46,33.0,142.0,5.0,193,72.0,24.0,UNK,5
BreeDr00,Drew Brees,QB,0.0,105.0,7.09,4.21,4.83,32.0,32.0,2.0,213,72.0,14.64,UNK,1
BridTe00,Teddy Bridgewater,QB,0.0,113.0,7.17,4.2,0.0,30.0,32.0,1.0,214,74.0,196.66,UNK,1
BrisDe00,Dezmon Briscoe,WR,9.0,115.0,7.1,4.57,4.66,33.0,191.0,6.0,207,74.0,21.3,UNK,5
BrisJa00,Jacoby Brissett,QB,0.0,113.0,7.17,4.53,4.94,31.0,0.0,0.0,231,76.0,30.300000000000004,UNK,1
BritKe00,Kenny Britt,WR,23.0,124.0,0.0,4.47,4.47,37.0,30.0,1.0,218,75.0,136.1,UNK,5
BrowAn04,Antonio Brown,WR,13.0,105.0,6.98,4.18,4.56,33.5,195.0,6.0,186,70.0,38.699999999999996,UNK,5
BrowCh03,Chris Brown,RB,0.0,0.0,0.0,0.0,4.46,0.0,93.0,3.0,220,75.0,72.39999999999999,UNK,2
BrowDo00,Donald Brown,RB,0.0,125.0,6.93,4.1,4.46,41.5,27.0,1.0,210,70.0,74.0,UNK,2
BrowJo02,John Brown,WR,0.0,119.0,6.91,4.12,4.34,36.5,91.0,3.0,179,70.0,150.0,UNK,5
BrowLe00,Levi Brown,QB,20.0,106.0,7.07,4.43,4.93,31.5,209.0,7.0,229,75.0,-0.040000000000000036,UNK,1
BrowMa00,Marlon Brown,WR,0.0,0.0,0.0,0.0,4.63,0.0,0.0,0.0,213,76.0,143.2,UNK,5
BrowMa03,Malcolm Brown,RB,19.0,117.0,6.86,4.15,4.62,34.5,0.0,0.0,224,71.0,2.5,UNK,2
BrowPh00,Corey Brown,WR,0.0,116.0,7.16,4.22,4.51,33.0,0.0,0.0,178,71.0,78.10000000000002,UNK,5
BrowRe01,Reggie Brown,WR,0.0,128.0,6.99,3.94,4.45,41.5,35.0,2.0,196,74.0,124.60000000000001,UNK,5
BrowRo05,Ronnie Brown,RB,18.0,117.0,7.1,4.08,4.43,34.0,2.0,1.0,233,72.0,181.89999999999998,UNK,2
BrowTr01,Travis Brown,QB,0.0,101.0,7.54,4.87,5.01,29.0,0.0,0.0,218,75.0,0.0,UNK,1
BrowVi00,Vincent Brown,WR,12.0,121.0,6.64,4.25,4.68,33.5,82.0,3.0,187,71.0,63.9,UNK,5
BroyRy00,Ryan Broyles,WR,21.0,0.0,0.0,0.0,4.57,0.0,54.0,2.0,192,70.0,68.0,UNK,5
BryaAn00,Antonio Bryant,WR,0.0,121.0,0.0,0.0,4.57,37.0,63.0,2.0,188,73.0,160.3,UNK,5
BryaDe01,Dez Bryant,WR,0.0,0.0,0.0,0.0,4.52,0.0,24.0,1.0,225,74.0,152.10000000000002,UNK,5
BryaMa00,Martavis Bryant,WR,16.0,124.0,7.18,4.15,4.42,39.0,118.0,4.0,211,76.0,136.1,UNK,5
BuckCo00,Correll Buckhalter,RB,11.0,123.0,7.08,4.06,4.53,40.0,121.0,4.0,226,72.0,99.6,UNK,2
BurbAa00,Aaron Burbridge,WR,20.0,115.0,7.22,4.31,4.56,30.5,213.0,6.0,206,72.0,15.8,UNK,5
BurkRe00,Rex Burkhead,RB,21.0,125.0,6.85,4.09,4.73,39.0,190.0,6.0,214,70.0,0.0,UNK,2
BurlNa00,Nate Burleson,WR,0.0,126.0,6.96,4.16,4.51,42.5,71.0,3.0,197,72.0,86.5,UNK,5
BurnJo00,Joe Burns,RB,21.0,105.0,0.0,0.0,4.81,31.0,0.0,0.0,213,69.0,0.7000000000000001,UNK,2
BurrPl00,Plaxico Burress,WR,0.0,115.0,0.0,0.0,4.59,33.0,8.0,1.0,231,77.0,49.3,UNK,5
BursIs01,Isaiah Burse,WR,16.0,115.0,6.74,3.94,4.58,31.0,0.0,0.0,188,70.0,0.0,UNK,5
BurtKe00,Keenan Burton,WR,10.0,125.0,6.77,4.2,4.44,38.5,128.0,4.0,201,72.0,37.0,UNK,5
BurtSt00,Stephen Burton,WR,19.0,117.0,7.04,4.31,4.5,34.5,236.0,7.0,221,73.0,5.800000000000001,UNK,5
BurtTr01,Trey Burton,TE,0.0,112.0,7.14,4.32,4.62,30.0,0.0,0.0,224,74.0,1.0,UNK,3
BushRe00,Reggie Bush,RB,0.0,0.0,0.0,0.0,4.37,0.0,2.0,1.0,201,71.0,280.7,UNK,2
ButlDe00,Deon Butler,WR,12.0,118.0,7.01,4.48,4.31,34.5,91.0,3.0,182,70.0,32.5,UNK,5
ByhaNa00,Nate Byham,TE,0.0,109.0,0.0,0.0,4.97,29.0,182.0,6.0,268,76.0,7.7,UNK,3
ByrdDo00,Dominique Byrd,TE,0.0,0.0,0.0,0.0,4.79,0.0,93.0,3.0,255,75.0,11.9,UNK,3
CaldAn00,Andre Caldwell,WR,0.0,124.0,6.75,4.11,4.35,33.0,97.0,3.0,204,72.0,24.1,UNK,5
CaldRe00,Reche Caldwell,WR,0.0,130.0,7.0,4.1,4.53,41.5,48.0,2.0,194,72.0,62.50000000000001,UNK,5
CalhBr00,Brian Calhoun,RB,18.0,124.0,7.05,4.2,4.57,31.5,74.0,3.0,201,69.0,5.8999999999999995,UNK,2
CaliTy00,Tyrone Calico,WR,0.0,127.0,6.73,4.26,4.34,38.0,60.0,2.0,223,76.0,72.2,UNK,5
CameJo00,Jordan Cameron,TE,23.0,119.0,6.82,4.03,4.53,37.5,102.0,4.0,254,77.0,9.3,UNK,3
CampKe00,Kelly Campbell,WR,0.0,0.0,0.0,0.0,4.48,0.0,0.0,0.0,171,70.0,49.7,UNK,5
CampMi02,Michael Campanaro,WR,20.0,122.0,6.77,4.01,4.46,39.0,218.0,7.0,192,69.0,23.2,UNK,5
CaniTr00,Trung Canidate,RB,18.0,0.0,0.0,0.0,4.41,0.0,31.0,1.0,193,71.0,2.0,UNK,2
CareKa00,Ka'Deem Carey,RB,19.0,115.0,7.08,4.38,4.69,32.5,117.0,4.0,207,69.0,26.500000000000004,UNK,2
CarlJo00,John Carlson,TE,20.0,113.0,7.12,4.28,4.88,30.5,38.0,2.0,251,77.0,150.7,UNK,3
CarrDa00,David Carr,QB,0.0,108.0,7.05,4.28,4.67,35.0,1.0,1.0,223,75.0,170.88,UNK,1
CarrDe02,Derek Carr,QB,0.0,110.0,0.0,4.2,4.69,34.5,36.0,2.0,214,74.0,214.99999999999997,UNK,1
CarrLe00,Leonte Carroo,WR,14.0,120.0,0.0,0.0,4.5,35.5,86.0,3.0,211,72.0,11.9,UNK,5
CartDe01,Delone Carter,RB,27.0,120.0,6.92,4.07,4.54,37.0,119.0,4.0,222,69.0,56.5,UNK,2
CartJa00,Jason Carter,WR,0.0,116.0,6.89,4.21,4.6,33.0,0.0,0.0,211,72.0,0.0,UNK,5
CartKe01,Kerry Carter,RB,20.0,118.0,7.29,4.39,4.61,36.0,0.0,0.0,238,74.0,-0.2,UNK,2
CartQu00,Quincy Carter,QB,0.0,113.0,7.12,4.12,4.58,35.5,53.0,2.0,225,74.0,76.88,UNK,1
CartTi00,Tim Carter,WR,0.0,126.0,6.68,3.93,4.32,39.0,46.0,2.0,190,72.0,8.5,UNK,5
CaseJa00,James Casey,TE,28.0,111.0,7.0,4.48,4.69,36.0,152.0,5.0,246,75.0,12.400000000000002,UNK,3
CaviKw00,Kwame Cavil,WR,0.0,118.0,0.0,0.0,4.54,39.5,0.0,0.0,208,74.0,10.600000000000001,UNK,5
ChamCh00,Chris Chambers,WR,0.0,134.0,0.0,4.0,4.33,45.0,52.0,2.0,210,72.0,186.20000000000002,UNK,5
ChanSc00,Scott Chandler,TE,16.0,111.0,7.26,4.32,4.78,30.0,129.0,4.0,270,79.0,0.0,UNK,3
ChapSh00,Shaun Chapas,RB,23.0,116.0,7.13,4.4,4.87,35.5,220.0,7.0,247,74.0,1.9,UNK,2
CharJa00,Jamaal Charles,RB,0.0,122.0,6.8,4.22,4.38,30.5,73.0,3.0,200,71.0,101.90000000000002,UNK,2
CharOr00,Orson Charles,TE,35.0,0.0,0.0,0.0,4.73,0.0,116.0,4.0,251,74.0,18.1,UNK,3
ChoiTa00,Tashard Choice,RB,20.0,119.0,6.88,0.0,4.48,34.0,122.0,4.0,215,70.0,98.7,UNK,2
ClarDa00,Dallas Clark,TE,0.0,123.0,0.0,0.0,4.65,37.5,24.0,1.0,257,75.0,72.0,UNK,3
ClauJi00,Jimmy Clausen,QB,0.0,0.0,0.0,0.0,4.76,0.0,48.0,2.0,222,75.0,71.02000000000001,UNK,1
ClayCh00,Charles Clay,TE,18.0,118.0,7.07,4.15,4.69,33.5,174.0,6.0,245,75.0,57.3,UNK,3
ClayJo00,John Clay,RB,0.0,111.0,0.0,0.0,4.83,29.0,0.0,0.0,230,72.0,10.1,UNK,2
ClayKa00,Kaelin Clay,WR,10.0,113.0,6.97,4.26,4.51,33.0,184.0,6.0,195,70.0,6.0,UNK,5
ClayMa01,Mark Clayton,WR,0.0,118.0,6.95,4.07,4.41,36.5,22.0,1.0,193,70.0,115.39999999999999,UNK,5
ClayMi00,Michael Clayton,WR,0.0,116.0,6.77,4.09,4.67,32.5,15.0,1.0,209,75.0,250.29999999999998,UNK,5
ClemKe00,Kellen Clemens,QB,0.0,0.0,0.0,0.0,4.89,0.0,49.0,2.0,224,74.0,1.0,UNK,1
CoatDa00,Daniel Coats,TE,34.0,111.0,7.07,4.43,4.94,30.0,0.0,0.0,257,75.0,24.2,UNK,3
CoatSa00,Sammie Coates,WR,23.0,131.0,6.98,4.06,4.43,41.0,87.0,3.0,212,73.0,2.1,UNK,5
CobbCe00,Cedric Cobbs,RB,0.0,123.0,0.0,0.0,4.75,40.0,128.0,4.0,223,72.0,5.0,UNK,2
CobbDa00,David Cobb,RB,17.0,121.0,0.0,0.0,4.59,38.5,138.0,5.0,229,71.0,21.4,UNK,2
CobbDe00,DeAndra Cobb,RB,17.0,118.0,7.13,4.25,4.49,34.0,201.0,6.0,196,70.0,0.0,UNK,2
