Season,Slot,StrongSeed,WeakSeed
2003,R3Z2,R2Z2,R2Z3
2003,R4W1,R3W1,R3W2
2003,R4X1,R3X1,R3X2
2003,R4Y1,R3Y1,R3Y2
2003,R4Z1,R3Z1,R3Z2
2003,R5WX,R4W1,R4X1
2003,R5YZ,R4Y1,R4Z1
2003,R6CH,R5WX,R5YZ
2003,X16,X16a,X16b
2004,R1W1,W01,W16
2004,R1W2,W02,W15
2004,R1W3,W03,W14
2004,R1W4,W04,W13
2004,R1W5,W05,W12
2004,R1W6,W06,W11
2004,R1W7,W07,W10
2004,R1W8,W08,W09
2004,R1X1,X01,X16
2004,R1X2,X02,X15
2004,R1X3,X03,X14
2004,R1X4,X04,X13
2004,R1X5,X05,X12
2004,R1X6,X06,X11
2004,R1X7,X07,X10
2004,R1X8,X08,X09
2004,R1Y1,Y01,Y16
2004,R1Y2,Y02,Y15
2004,R1Y3,Y03,Y14
2004,R1Y4,Y04,Y13
2004,R1Y5,Y05,Y12
2004,R1Y6,Y06,Y11
2004,R1Y7,Y07,Y10
2004,R1Y8,Y08,Y09
2004,R1Z1,Z01,Z16
2004,R1Z2,Z02,Z15
2004,R1Z3,Z03,Z14
2004,R1Z4,Z04,Z13
2004,R1Z5,Z05,Z12
2004,R1Z6,Z06,Z11
2004,R1Z7,Z07,Z10
2004,R1Z8,Z08,Z09
2004,R2W1,R1W1,R1W8
2004,R2W2,R1W2,R1W7
2004,R2W3,R1W3,R1W6
2004,R2W4,R1W4,R1W5
2004,R2X1,R1X1,R1X8
2004,R2X2,R1X2,R1X7
2004,R2X3,R1X3,R1X6
2004,R2X4,R1X4,R1X5
2004,R2Y1,R1Y1,R1Y8
2004,R2Y2,R1Y2,R1Y7
2004,R2Y3,R1Y3,R1Y6
2004,R2Y4,R1Y4,R1Y5
2004,R2Z1,R1Z1,R1Z8
2004,R2Z2,R1Z2,R1Z7
2004,R2Z3,R1Z3,R1Z6
2004,R2Z4,R1Z4,R1Z5
2004,R3W1,R2W1,R2W4
2004,R3W2,R2W2,R2W3
2004,R3X1,R2X1,R2X4
2004,R3X2,R2X2,R2X3
2004,R3Y1,R2Y1,R2Y4
2004,R3Y2,R2Y2,R2Y3
2004,R3Z1,R2Z1,R2Z4
2004,R3Z2,R2Z2,R2Z3
2004,R4W1,R3W1,R3W2
2004,R4X1,R3X1,R3X2
2004,R4Y1,R3Y1,R3Y2
2004,R4Z1,R3Z1,R3Z2
2004,R5WX,R4W1,R4X1
2004,R5YZ,R4Y1,R4Z1
2004,R6CH,R5WX,R5YZ
2004,Z16,Z16a,Z16b
2005,R1W1,W01,W16
2005,R1W2,W02,W15
2005,R1W3,W03,W14
2005,R1W4,W04,W13
2005,R1W5,W05,W12
2005,R1W6,W06,W11
2005,R1W7,W07,W10
2005,R1W8,W08,W09
2005,R1X1,X01,X16
2005,R1X2,X02,X15
2005,R1X3,X03,X14
2005,R1X4,X04,X13
2005,R1X5,X05,X12
2005,R1X6,X06,X11
2005,R1X7,X07,X10
2005,R1X8,X08,X09
2005,R1Y1,Y01,Y16
2005,R1Y2,Y02,Y15
2005,R1Y3,Y03,Y14
2005,R1Y4,Y04,Y13
2005,R1Y5,Y05,Y12
2005,R1Y6,Y06,Y11
2005,R1Y7,Y07,Y10
2005,R1Y8,Y08,Y09
2005,R1Z1,Z01,Z16
2005,R1Z2,Z02,Z15
2005,R1Z3,Z03,Z14
2005,R1Z4,Z04,Z13
2005,R1Z5,Z05,Z12
2005,R1Z6,Z06,Z11
2005,R1Z7,Z07,Z10
2005,R1Z8,Z08,Z09
2005,R2W1,R1W1,R1W8
2005,R2W2,R1W2,R1W7
2005,R2W3,R1W3,R1W6
2005,R2W4,R1W4,R1W5
2005,R2X1,R1X1,R1X8
2005,R2X2,R1X2,R1X7
2005,R2X3,R1X3,R1X6
2005,R2X4,R1X4,R1X5
2005,R2Y1,R1Y1,R1Y8
2005,R2Y2,R1Y2,R1Y7
2005,R2Y3,R1Y3,R1Y6
2005,R2Y4,R1Y4,R1Y5
2005,R2Z1,R1Z1,R1Z8
2005,R2Z2,R1Z2,R1Z7
2005,R2Z3,R1Z3,R1Z6
2005,R2Z4,R1Z4,R1Z5
2005,R3W1,R2W1,R2W4
2005,R3W2,R2W2,R2W3
2005,R3X1,R2X1,R2X4
2005,R3X2,R2X2,R2X3
2005,R3Y1,R2Y1,R2Y4
2005,R3Y2,R2Y2,R2Y3
2005,R3Z1,R2Z1,R2Z4
2005,R3Z2,R2Z2,R2Z3
2005,R4W1,R3W1,R3W2
2005,R4X1,R3X1,R3X2
2005,R4Y1,R3Y1,R3Y2
2005,R4Z1,R3Z1,R3Z2
2005,R5WX,R4W1,R4X1
2005,R5YZ,R4Y1,R4Z1
2005,R6CH,R5WX,R5YZ
2005,Z16,Z16a,Z16b
2006,R1W1,W01,W16
2006,R1W2,W02,W15
2006,R1W3,W03,W14
2006,R1W4,W04,W13
2006,R1W5,W05,W12
2006,R1W6,W06,W11
2006,R1W7,W07,W10
2006,R1W8,W08,W09
2006,R1X1,X01,X16
2006,R1X2,X02,X15
2006,R1X3,X03,X14
2006,R1X4,X04,X13
2006,R1X5,X05,X12
2006,R1X6,X06,X11
2006,R1X7,X07,X10
2006,R1X8,X08,X09
2006,R1Y1,Y01,Y16
2006,R1Y2,Y02,Y15
2006,R1Y3,Y03,Y14
2006,R1Y4,Y04,Y13
2006,R1Y5,Y05,Y12
2006,R1Y6,Y06,Y11
2006,R1Y7,Y07,Y10
2006,R1Y8,Y08,Y09
2006,R1Z1,Z01,Z16
2006,R1Z2,Z02,Z15
2006,R1Z3,Z03,Z14
2006,R1Z4,Z04,Z13
2006,R1Z5,Z05,Z12
2006,R1Z6,Z06,Z11
2006,R1Z7,Z07,Z10
2006,R1Z8,Z08,Z09
2006,R2W1,R1W1,R1W8
2006,R2W2,R1W2,R1W7
2006,R2W3,R1W3,R1W6
2006,R2W4,R1W4,R1W5
2006,R2X1,R1X1,R1X8
2006,R2X2,R1X2,R1X7
2006,R2X3,R1X3,R1X6
2006,R2X4,R1X4,R1X5
2006,R2Y1,R1Y1,R1Y8
2006,R2Y2,R1Y2,R1Y7
2006,R2Y3,R1Y3,R1Y6
2006,R2Y4,R1Y4,R1Y5
2006,R2Z1,R1Z1,R1Z8
2006,R2Z2,R1Z2,R1Z7
2006,R2Z3,R1Z3,R1Z6
2006,R2Z4,R1Z4,R1Z5
2006,R3W1,R2W1,R2W4
2006,R3W2,R2W2,R2W3
2006,R3X1,R2X1,R2X4
2006,R3X2,R2X2,R2X3
2006,R3Y1,R2Y1,R2Y4
2006,R3Y2,R2Y2,R2Y3
2006,R3Z1,R2Z1,R2Z4
2006,R3Z2,R2Z2,R2Z3
2006,R4W1,R3W1,R3W2
2006,R4X1,R3X1,R3X2
2006,R4Y1,R3Y1,R3Y2
2006,R4Z1,R3Z1,R3Z2
2006,R5WX,R4W1,R4X1
2006,R5YZ,R4Y1,R4Z1
2006,R6CH,R5WX,R5YZ
2006,Y16,Y16a,Y16b
2007,R1W1,W01,W16
2007,R1W2,W02,W15
2007,R1W3,W03,W14
2007,R1W4,W04,W13
2007,R1W5,W05,W12
2007,R1W6,W06,W11
2007,R1W7,W07,W10
2007,R1W8,W08,W09
2007,R1X1,X01,X16
2007,R1X2,X02,X15
2007,R1X3,X03,X14
2007,R1X4,X04,X13
2007,R1X5,X05,X12
2007,R1X6,X06,X11
2007,R1X7,X07,X10
2007,R1X8,X08,X09
2007,R1Y1,Y01,Y16
2007,R1Y2,Y02,Y15
2007,R1Y3,Y03,Y14
2007,R1Y4,Y04,Y13
2007,R1Y5,Y05,Y12
2007,R1Y6,Y06,Y11
2007,R1Y7,Y07,Y10
2007,R1Y8,Y08,Y09
2007,R1Z1,Z01,Z16
2007,R1Z2,Z02,Z15
2007,R1Z3,Z03,Z14
2007,R1Z4,Z04,Z13
2007,R1Z5,Z05,Z12
2007,R1Z6,Z06,Z11
2007,R1Z7,Z07,Z10
2007,R1Z8,Z08,Z09
2007,R2W1,R1W1,R1W8
2007,R2W2,R1W2,R1W7
2007,R2W3,R1W3,R1W6
2007,R2W4,R1W4,R1W5
2007,R2X1,R1X1,R1X8
2007,R2X2,R1X2,R1X7
2007,R2X3,R1X3,R1X6
2007,R2X4,R1X4,R1X5
2007,R2Y1,R1Y1,R1Y8
2007,R2Y2,R1Y2,R1Y7
2007,R2Y3,R1Y3,R1Y6
2007,R2Y4,R1Y4,R1Y5
2007,R2Z1,R1Z1,R1Z8
2007,R2Z2,R1Z2,R1Z7
2007,R2Z3,R1Z3,R1Z6
2007,R2Z4,R1Z4,R1Z5
2007,R3W1,R2W1,R2W4
2007,R3W2,R2W2,R2W3
2007,R3X1,R2X1,R2X4
2007,R3X2,R2X2,R2X3
2007,R3Y1,R2Y1,R2Y4
2007,R3Y2,R2Y2,R2Y3
2007,R3Z1,R2Z1,R2Z4
2007,R3Z2,R2Z2,R2Z3
2007,R4W1,R3W1,R3W2
2007,R4X1,R3X1,R3X2
2007,R4Y1,R3Y1,R3Y2
2007,R4Z1,R3Z1,R3Z2
2007,R5WX,R4W1,R4X1
2007,R5YZ,R4Y1,R4Z1
2007,R6CH,R5WX,R5YZ
2007,Z16,Z16a,Z16b
2008,R1W1,W01,W16
2008,R1W2,W02,W15
2008,R1W3,W03,W14
2008,R1W4,W04,W13
2008,R1W5,W05,W12
2008,R1W6,W06,W11
2008,R1W7,W07,W10
2008,R1W8,W08,W09
2008,R1X1,X01,X16
2008,R1X2,X02,X15
2008,R1X3,X03,X14
2008,R1X4,X04,X13
2008,R1X5,X05,X12
2008,R1X6,X06,X11
2008,R1X7,X07,X10
2008,R1X8,X08,X09
2008,R1Y1,Y01,Y16
2008,R1Y2,Y02,Y15
2008,R1Y3,Y03,Y14
2008,R1Y4,Y04,Y13
2008,R1Y5,Y05,Y12
2008,R1Y6,Y06,Y11
2008,R1Y7,Y07,Y10
2008,R1Y8,Y08,Y09
2008,R1Z1,Z01,Z16
2008,R1Z2,Z02,Z15
2008,R1Z3,Z03,Z14
2008,R1Z4,Z04,Z13
2008,R1Z5,Z05,Z12
2008,R1Z6,Z06,Z11
2008,R1Z7,Z07,Z10
2008,R1Z8,Z08,Z09
2008,R2W1,R1W1,R1W8
2008,R2W2,R1W2,R1W7
2008,R2W3,R1W3,R1W6
2008,R2W4,R1W4,R1W5
2008,R2X1,R1X1,R1X8
2008,R2X2,R1X2,R1X7
2008,R2X3,R1X3,R1X6
2008,R2X4,R1X4,R1X5
2008,R2Y1,R1Y1,R1Y8
2008,R2Y2,R1Y2,R1Y7
2008,R2Y3,R1Y3,R1Y6
2008,R2Y4,R1Y4,R1Y5
2008,R2Z1,R1Z1,R1Z8
2008,R2Z2,R1Z2,R1Z7
2008,R2Z3,R1Z3,R1Z6
2008,R2Z4,R1Z4,R1Z5
2008,R3W1,R2W1,R2W4
2008,R3W2,R2W2,R2W3
2008,R3X1,R2X1,R2X4
2008,R3X2,R2X2,R2X3
2008,R3Y1,R2Y1,R2Y4
2008,R3Y2,R2Y2,R2Y3
2008,R3Z1,R2Z1,R2Z4
2008,R3Z2,R2Z2,R2Z3
2008,R4W1,R3W1,R3W2
2008,R4X1,R3X1,R3X2
2008,R4Y1,R3Y1,R3Y2
2008,R4Z1,R3Z1,R3Z2
2008,R5WX,R4W1,R4X1
2008,R5YZ,R4Y1,R4Z1
2008,R6CH,R5WX,R5YZ
2008,W16,W16a,W16b
2009,R1W1,W01,W16
2009,R1W2,W02,W15
2009,R1W3,W03,W14
2009,R1W4,W04,W13
2009,R1W5,W05,W12
2009,R1W6,W06,W11
2009,R1W7,W07,W10
2009,R1W8,W08,W09
2009,R1X1,X01,X16
2009,R1X2,X02,X15
2009,R1X3,X03,X14
2009,R1X4,X04,X13
2009,R1X5,X05,X12
2009,R1X6,X06,X11
2009,R1X7,X07,X10
2009,R1X8,X08,X09
2009,R1Y1,Y01,Y16
2009,R1Y2,Y02,Y15
2009,R1Y3,Y03,Y14
2009,R1Y4,Y04,Y13
2009,R1Y5,Y05,Y12
2009,R1Y6,Y06,Y11
2009,R1Y7,Y07,Y10
2009,R1Y8,Y08,Y09
2009,R1Z1,Z01,Z16
2009,R1Z2,Z02,Z15
2009,R1Z3,Z03,Z14
2009,R1Z4,Z04,Z13
2009,R1Z5,Z05,Z12
2009,R1Z6,Z06,Z11
2009,R1Z7,Z07,Z10
2009,R1Z8,Z08,Z09
2009,R2W1,R1W1,R1W8
2009,R2W2,R1W2,R1W7
2009,R2W3,R1W3,R1W6
2009,R2W4,R1W4,R1W5
2009,R2X1,R1X1,R1X8
2009,R2X2,R1X2,R1X7
2009,R2X3,R1X3,R1X6
2009,R2X4,R1X4,R1X5
2009,R2Y1,R1Y1,R1Y8
2009,R2Y2,R1Y2,R1Y7
2009,R2Y3,R1Y3,R1Y6
2009,R2Y4,R1Y4,R1Y5
2009,R2Z1,R1Z1,R1Z8
2009,R2Z2,R1Z2,R1Z7
2009,R2Z3,R1Z3,R1Z6
2009,R2Z4,R1Z4,R1Z5
2009,R3W1,R2W1,R2W4
2009,R3W2,R2W2,R2W3
2009,R3X1,R2X1,R2X4
2009,R3X2,R2X2,R2X3
2009,R3Y1,R2Y1,R2Y4
2009,R3Y2,R2Y2,R2Y3
2009,R3Z1,R2Z1,R2Z4
2009,R3Z2,R2Z2,R2Z3
2009,R4W1,R3W1,R3W2
2009,R4X1,R3X1,R3X2
2009,R4Y1,R3Y1,R3Y2
2009,R4Z1,R3Z1,R3Z2
2009,R5WX,R4W1,R4X1
2009,R5YZ,R4Y1,R4Z1
2009,R6CH,R5WX,R5YZ
2009,Y16,Y16a,Y16b
2010,R1W1,W01,W16
2010,R1W2,W02,W15
2010,R1W3,W03,W14
2010,R1W4,W04,W13
2010,R1W5,W05,W12
2010,R1W6,W06,W11
2010,R1W7,W07,W10
2010,R1W8,W08,W09
2010,R1X1,X01,X16
2010,R1X2,X02,X15
2010,R1X3,X03,X14
2010,R1X4,X04,X13
2010,R1X5,X05,X12
2010,R1X6,X06,X11
2010,R1X7,X07,X10
2010,R1X8,X08,X09
2010,R1Y1,Y01,Y16
2010,R1Y2,Y02,Y15
2010,R1Y3,Y03,Y14
2010,R1Y4,Y04,Y13
2010,R1Y5,Y05,Y12
2010,R1Y6,Y06,Y11
2010,R1Y7,Y07,Y10
2010,R1Y8,Y08,Y09
2010,R1Z1,Z01,Z16
2010,R1Z2,Z02,Z15
2010,R1Z3,Z03,Z14
2010,R1Z4,Z04,Z13
2010,R1Z5,Z05,Z12
2010,R1Z6,Z06,Z11
2010,R1Z7,Z07,Z10
2010,R1Z8,Z08,Z09
2010,R2W1,R1W1,R1W8
2010,R2W2,R1W2,R1W7
2010,R2W3,R1W3,R1W6
2010,R2W4,R1W4,R1W5
2010,R2X1,R1X1,R1X8
2010,R2X2,R1X2,R1X7
2010,R2X3,R1X3,R1X6
2010,R2X4,R1X4,R1X5
2010,R2Y1,R1Y1,R1Y8
2010,R2Y2,R1Y2,R1Y7
2010,R2Y3,R1Y3,R1Y6
2010,R2Y4,R1Y4,R1Y5
2010,R2Z1,R1Z1,R1Z8
2010,R2Z2,R1Z2,R1Z7
2010,R2Z3,R1Z3,R1Z6
2010,R2Z4,R1Z4,R1Z5
2010,R3W1,R2W1,R2W4
2010,R3W2,R2W2,R2W3
2010,R3X1,R2X1,R2X4
2010,R3X2,R2X2,R2X3
2010,R3Y1,R2Y1,R2Y4
2010,R3Y2,R2Y2,R2Y3
2010,R3Z1,R2Z1,R2Z4
2010,R3Z2,R2Z2,R2Z3
2010,R4W1,R3W1,R3W2
2010,R4X1,R3X1,R3X2
2010,R4Y1,R3Y1,R3Y2
2010,R4Z1,R3Z1,R3Z2
2010,R5WX,R4W1,R4X1
2010,R5YZ,R4Y1,R4Z1
2010,R6CH,R5WX,R5YZ
2010,X16,X16a,X16b
2011,R1W1,W01,W16
2011,R1W2,W02,W15
2011,R1W3,W03,W14
2011,R1W4,W04,W13
2011,R1W5,W05,W12
2011,R1W6,W06,W11
2011,R1W7,W07,W10
2011,R1W8,W08,W09
2011,R1X1,X01,X16
2011,R1X2,X02,X15
2011,R1X3,X03,X14
2011,R1X4,X04,X13
2011,R1X5,X05,X12
2011,R1X6,X06,X11
2011,R1X7,X07,X10
2011,R1X8,X08,X09
2011,R1Y1,Y01,Y16
2011,R1Y2,Y02,Y15
2011,R1Y3,Y03,Y14
2011,R1Y4,Y04,Y13
2011,R1Y5,Y05,Y12
2011,R1Y6,Y06,Y11
2011,R1Y7,Y07,Y10
2011,R1Y8,Y08,Y09
2011,R1Z1,Z01,Z16
2011,R1Z2,Z02,Z15
2011,R1Z3,Z03,Z14
2011,R1Z4,Z04,Z13
2011,R1Z5,Z05,Z12
2011,R1Z6,Z06,Z11
2011,R1Z7,Z07,Z10
2011,R1Z8,Z08,Z09
2011,R2W1,R1W1,R1W8
2011,R2W2,R1W2,R1W7
2011,R2W3,R1W3,R1W6
2011,R2W4,R1W4,R1W5
2011,R2X1,R1X1,R1X8
2011,R2X2,R1X2,R1X7
2011,R2X3,R1X3,R1X6
2011,R2X4,R1X4,R1X5
2011,R2Y1,R1Y1,R1Y8
2011,R2Y2,R1Y2,R1Y7
2011,R2Y3,R1Y3,R1Y6
2011,R2Y4,R1Y4,R1Y5
2011,R2Z1,R1Z1,R1Z8
2011,R2Z2,R1Z2,R1Z7
2011,R2Z3,R1Z3,R1Z6
2011,R2Z4,R1Z4,R1Z5
2011,R3W1,R2W1,R2W4
2011,R3W2,R2W2,R2W3
2011,R3X1,R2X1,R2X4
2011,R3X2,R2X2,R2X3
2011,R3Y1,R2Y1,R2Y4
2011,R3Y2,R2Y2,R2Y3
2011,R3Z1,R2Z1,R2Z4
2011,R3Z2,R2Z2,R2Z3
2011,R4W1,R3W1,R3W2
2011,R4X1,R3X1,R3X2
2011,R4Y1,R3Y1,R3Y2
2011,R4Z1,R3Z1,R3Z2
2011,R5WX,R4W1,R4X1
2011,R5YZ,R4Y1,R4Z1
2011,R6CH,R5WX,R5YZ
2011,W12,W12a,W12b
2011,W16,W16a,W16b
2011,Y16,Y16a,Y16b
2011,Z11,Z11a,Z11b
2012,R1W1,W01,W16
2012,R1W2,W02,W15
2012,R1W3,W03,W14
2012,R1W4,W04,W13
2012,R1W5,W05,W12
2012,R1W6,W06,W11
2012,R1W7,W07,W10
2012,R1W8,W08,W09
2012,R1X1,X01,X16
2012,R1X2,X02,X15
2012,R1X3,X03,X14
2012,R1X4,X04,X13
2012,R1X5,X05,X12
2012,R1X6,X06,X11
2012,R1X7,X07,X10
2012,R1X8,X08,X09
2012,R1Y1,Y01,Y16
2012,R1Y2,Y02,Y15
2012,R1Y3,Y03,Y14
2012,R1Y4,Y04,Y13
2012,R1Y5,Y05,Y12
2012,R1Y6,Y06,Y11
2012,R1Y7,Y07,Y10
2012,R1Y8,Y08,Y09
2012,R1Z1,Z01,Z16
2012,R1Z2,Z02,Z15
2012,R1Z3,Z03,Z14
2012,R1Z4,Z04,Z13
2012,R1Z5,Z05,Z12
2012,R1Z6,Z06,Z11
2012,R1Z7,Z07,Z10
2012,R1Z8,Z08,Z09
2012,R2W1,R1W1,R1W8
2012,R2W2,R1W2,R1W7
2012,R2W3,R1W3,R1W6
2012,R2W4,R1W4,R1W5
2012,R2X1,R1X1,R1X8
2012,R2X2,R1X2,R1X7
2012,R2X3,R1X3,R1X6
2012,R2X4,R1X4,R1X5
2012,R2Y1,R1Y1,R1Y8
2012,R2Y2,R1Y2,R1Y7
2012,R2Y3,R1Y3,R1Y6
2012,R2Y4,R1Y4,R1Y5
2012,R2Z1,R1Z1,R1Z8
2012,R2Z2,R1Z2,R1Z7
2012,R2Z3,R1Z3,R1Z6
2012,R2Z4,R1Z4,R1Z5
2012,R3W1,R2W1,R2W4
2012,R3W2,R2W2,R2W3
2012,R3X1,R2X1,R2X4
2012,R3X2,R2X2,R2X3
2012,R3Y1,R2Y1,R2Y4
2012,R3Y2,R2Y2,R2Y3
2012,R3Z1,R2Z1,R2Z4
2012,R3Z2,R2Z2,R2Z3
2012,R4W1,R3W1,R3W2
2012,R4X1,R3X1,R3X2
2012,R4Y1,R3Y1,R3Y2
2012,R4Z1,R3Z1,R3Z2
2012,R5WX,R4W1,R4X1
2012,R5YZ,R4Y1,R4Z1
2012,R6CH,R5WX,R5YZ
2012,X12,X12a,X12b
2012,X16,X16a,X16b
2012,Y16,Y16a,Y16b
2012,Z14,Z14a,Z14b
2013,R1W1,W01,W16
2013,R1W2,W02,W15
2013,R1W3,W03,W14
2013,R1W4,W04,W13
2013,R1W5,W05,W12
2013,R1W6,W06,W11
